song_id,artist_name,title,tempo,key,mode,time_signature,loudness,duration
SOMZWCG12A8C13C480,Casual,I Didn't Mean To,92.198,1,0,4,-11.197,218.93179
SOCIWDW12A8C13D406,The Box Tops,Soul Deep,121.274,6,0,4,-9.843,148.03546
SOXVLOJ12AB0189215,Sonora Santanera,Amor De Cabaret,100.07,8,1,1,-9.689,177.47546
SONHOTT12A8C13493C,Adam Ant,Something Girls,119.293,0,1,4,-9.013,233.40363
SOFSOCN12A8C143F5D,Gob,Face the Ashes,129.738,2,1,4,-4.501,209.60608
SOYMRWW12A6D4FAB14,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),147.782,5,1,3,-9.323,267.7024
SOMJBYD12A6D4F8557,Rated R,Keepin It Real (Skit),111.787,1,1,1,-17.302,114.78159
SOHKNRJ12A6701D1F8,Tweeterfriendly Music,Drop of Rain,101.43,4,0,3,-11.642,189.57016
SOIAZJW12AB01853F1,Planet P Project,Pink World,86.643,4,1,4,-13.496,269.81832
SOUDSGM12AC9618304,Clp,Insatiable (Instrumental Version),114.041,7,0,4,-6.697,266.39628
SOQHXMF12AB0182363,JennyAnyKind,Young Boy Blues,146.765,5,0,1,-10.021,218.77506
SOKEJEJ12A8C13E0D0,Wayne Watson,The Urgency (LP Version),117.975,7,1,4,-7.545,245.21098
SOMUYGI12AB0188633,Andy Andy,La Culpa,130.04,9,1,4,-6.632,226.35057
SORAMLE12AB017C8B0,Bob Azzam,Auguri Cha Cha,137.334,10,0,1,-7.75,191.84281
SOBONFF12A6D4F84D8,Lionel Richie,Tonight Will Be Alright,125.197,3,1,3,-8.346,307.3824
SOHUOAP12A8AE488E9,Blue Rodeo,Floating,119.826,7,1,4,-8.576,491.12771
SOUQQEA12A8C134B1B,Richard Souther,High Tide,127.756,8,1,5,-16.11,228.5971
SOILPQQ12AB017E82A,Faiz Ali Faiz,Sohna Nee Sohna Data,99.273,6,1,4,-8.032,599.24853
SOXLBJT12A8C140925,Tesla,Caught In A Dream,150.062,7,1,4,-5.271,290.29832
SOZVMJI12AB01808AF,lextrical,Synthetic Dream,138.331,7,1,4,-6.787,165.69424
SOWTBJW12AC468AC6E,Jimmy Wakely,Broken-Down Merry-Go-Round,86.186,1,1,3,-15.221,151.84934
SOBEBDG12A58A76D60,Alice Stuart,Kassie Jones,110.382,11,1,1,-8.514,220.78649
SOZCTXZ12AB0182364,Elena,Setanta matins,111.874,2,1,4,-8.05,269.58322
